,trait_1,trait_2,trait_3
Intercept,95.3686713091019,18.7126196154685,0
snp02319,-0.00244095003505085,0.000454244963939269,0
snp01972,0.00946006299635757,0.00062653755009731,0
snp30195,-0.0146896021124809,0.00254244422320962,0
snp02919,0.00808339604086492,0.00186812350374051,0
snp24766,0.020761751726431,-0.00611211090873923,0
snp00197,0.0232564413311761,0.00313070260020303,0
snp29107,-0.0109600320910268,-0.00122711183813034,0
snp03352,-0.00409844292058889,-0.00109540486359697,0
snp04665,0.00581249315494105,-0.00207474747678746,0
snp05437,0.00726588934605909,0.00146447255545743,0
snp03887,-0.00162103495671862,0.0017190222529814,0
snp05565,0.031385921831826,-0.00197634211963316,0
snp08327,-0.0316067189270828,-0.000156803068693675,0
snp15129,-0.00949038718089935,-0.000517230005424337,0
snp14606,0.0327603529537243,-0.00333923255881585,0
snp11667,-0.0182204356396361,0.000536422490551368,0
snp03698,0.0113870897102088,-0.00137116160114062,0
snp11674,-0.0168066429452858,0.00224471152649375,0
snp23923,-0.0183051244846952,0.00193151030256512,0
snp20640,-0.0158634050322574,0.00176713889880356,0
snp28227,-0.0207471848365344,0.00154311602757137,0
snp28675,0.00842836266741381,-0.00234360013387005,0
snp30794,-0.0136340038721214,-0.000596471400856767,0
snp18512,-0.0129686987191375,-0.00191044192215103,0
snp27610,-0.0322221348949034,-0.000991364421431055,0
snp28569,-0.00151723195136563,0.00293145874584689,0
snp19322,-0.0265019665718963,0.00266132038558946,0
snp30839,0.000993427814145796,-0.003219603581281,0
snp14116,-0.0128577446756158,0.00371374023207406,0
snp33666,0.0332679875547383,-0.000905658043195886,0
snp30351,0.0152581070291784,-0.0025257283308413,0
snp09782,-0.0102645414800811,0.000778071296246034,0
snp30353,0.0125589405999533,-0.00198798580656125,0
snp28616,0.00996154133021908,-0.00188262801154473,0
snp27661,0.00668806995568242,-0.000885114912171284,0
snp10617,0.021696772369607,-0.00128326499189376,0
snp02183,-0.0129196920756006,-0.00107170794604529,0
snp10803,-0.00153072830751155,0.00357344557912694,0
snp15505,0.019201921581453,-0.00166878650115828,0
snp19150,-0.0371126564258196,0.00116307978268117,0
snp17544,-0.0190581740894688,0.0026886911578546,0
snp22232,-0.0197944635011224,0.00514701012464303,0
snp08562,0.038372470696792,0.0032757083714913,0
snp15410,-0.0090177014645193,-0.00158960576217636,0
snp07660,-0.022396508795947,-0.000601457286339593,0
snp24290,-0.00937501159952597,0.0013597327897472,0
snp21852,-0.0135019755368779,-0.00481820143567396,0
snp20158,0.00418428809133812,-0.00526154899038918,0
snp04141,-0.0116834760585657,0.00221133287553951,0
